"forecast_date","location","target","target_end_date","type","quantile","value"
2021-08-23,"02","0 day ahead inc hosp",2021-08-23,"quantile","0.01",18.0929877293318
2021-08-23,"02","1 day ahead inc hosp",2021-08-24,"quantile","0.01",0
2021-08-23,"02","2 day ahead inc hosp",2021-08-25,"quantile","0.01",0
2021-08-23,"02","3 day ahead inc hosp",2021-08-26,"quantile","0.01",4.85125890345593
2021-08-23,"02","4 day ahead inc hosp",2021-08-27,"quantile","0.01",33.668839610196
2021-08-23,"02","5 day ahead inc hosp",2021-08-28,"quantile","0.01",65.6966580767805
2021-08-23,"02","6 day ahead inc hosp",2021-08-29,"quantile","0.01",99.6576176360689
2021-08-23,"02","7 day ahead inc hosp",2021-08-30,"quantile","0.01",134.716554372845
2021-08-23,"02","8 day ahead inc hosp",2021-08-31,"quantile","0.01",170.261847922505
2021-08-23,"02","9 day ahead inc hosp",2021-09-01,"quantile","0.01",205.80345807054
2021-08-23,"02","10 day ahead inc hosp",2021-09-02,"quantile","0.01",240.917602808494
2021-08-23,"02","11 day ahead inc hosp",2021-09-03,"quantile","0.01",275.213008567965
2021-08-23,"02","12 day ahead inc hosp",2021-09-04,"quantile","0.01",308.308616150765
2021-08-23,"02","13 day ahead inc hosp",2021-09-05,"quantile","0.01",339.818837029139
2021-08-23,"02","14 day ahead inc hosp",2021-09-06,"quantile","0.01",369.345720368482
2021-08-23,"02","15 day ahead inc hosp",2021-09-07,"quantile","0.01",396.479423461817
2021-08-23,"02","16 day ahead inc hosp",2021-09-08,"quantile","0.01",420.809287657319
2021-08-23,"02","17 day ahead inc hosp",2021-09-09,"quantile","0.01",441.946841149183
2021-08-23,"02","18 day ahead inc hosp",2021-09-10,"quantile","0.01",459.558400957053
2021-08-23,"02","19 day ahead inc hosp",2021-09-11,"quantile","0.01",473.399446091319
2021-08-23,"02","20 day ahead inc hosp",2021-09-12,"quantile","0.01",483.339113037668
2021-08-23,"02","21 day ahead inc hosp",2021-09-13,"quantile","0.01",489.365245021432
