location,target_end_date,quantile,value,forecast_date,target,type
1,2023-05-02,0.01,8.548645252,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.025,11.40889533,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.05,12.9226317,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.1,14.5412612,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.15,15.90351547,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.2,17.29499324,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.25,18.52880563,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.3,19.53837057,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.35,20.50980448,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.4,21.26101012,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.45,21.98542759,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.5,22.80658869,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.55,23.68711319,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.6,24.4887912,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.65,25.48044157,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.7,26.90697556,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.75,28.12285628,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.8,29.5816146,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.85,31.24461856,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.9,33.87367388,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.95,37.05321984,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.975,40.93241899,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-02,0.99,43.76555787,2023-05-08,1 day ahead inc hosp,quantile
1,2023-05-03,0.01,8.382604263,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.025,10.42508998,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.05,11.94528172,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.1,14.26561041,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.15,15.71838725,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.2,17.25113843,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.25,18.43945224,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.3,19.54234879,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.35,20.53982464,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.4,21.33853824,2023-05-08,2 day ahead inc hosp,quantile
1,2023-05-03,0.45,22.12605423,2023-05-08,2 day ahead inc hosp,quantile
